score,MolW,cLogP,RotB
-63.36,338.476,3.9996,5
-64.2901,337.419,3.33084,6
-52.54,359.474,0.8381,6
-62.3998,377.531,3.95,4
-63.6101,355.322,4.856,5
-58.8599,348.428,1.3556,4
-53.3499,371.388,3.6295,5
-49.85,259.353,2.1232,3
-64.1301,357.498,3.38412,7
-41.5399,284.791,0.9784,3
-62.5401,359.43,1.005,7
-66.97,356.47,3.88192,6
-56.69,358.389,1.32722,7
-61.9398,448.592,4.2027,5
-56.3899,317.441,2.9142,5
-54.9099,343.412,1.22692,6
-52.59,293.373,3.9023,3
-52.4501,330.859,2.73,3
-61.4099,346.475,1.9491,4
-45.4399,394.132,2.9546,4
-64.3999,371.393,2.2503,7
-46.9401,237.347,1.6747,5
-50.91,347.423,0.73592,7
-50.9301,300.446,2.9548,3
-49.3201,313.831,4.71128,4
-53.3999,294.399,1.8549,6
-50.9399,345.407,0.8918,3
-58.4201,381.973,4.0405,4
-75.5401,372.44,3.2337,7
-58.9498,383.461,2.6831,5
-59.4099,390.572,2.2603,7
-47.55,364.667,2.0031,6
-65.7902,358.551,4.0635,8
-49.4999,389.496,1.8521,1
-55.5201,358.446,2.13362,6
-58.8599,333.52,4.1197,9
-57.4201,353.463,1.3977,6
-57.8998,440.591,2.66754,7
-57.9001,339.403,1.3149,7
-41.8601,261.167,0.9616,4
-54.7801,341.477,2.8947,7
-41.83,355.706,3.6293,3
-52.9599,330.384,2.46822,6
-61.0398,355.507,3.3839,5
-61.8999,419.481,3.87562,5
-61.1599,343.383,3.4853,5
-57.32,349.312,2.5926,3
-53.1801,343.33,2.5002,8
-36.8701,276.34,0.20648,2
-64.5099,346.427,2.40752,5
-40.7599,233.271,0.4555,2
-53.5202,349.435,1.0971,5
-63.16,361.555,2.7614,6
-44.3999,338.473,0.9427,1
-59.4301,350.438,2.1853,10
-65.6002,422.287,4.3865,6
-65.6899,421.432,2.77162,6
-75.2602,379.592,4.7938,6
-42.3401,273.34,0.7224,4
-49.5801,263.385,1.03602,3
-60.8301,364.49,0.6517,5
-66.4,404.942,3.1692,7
-62.3001,341.408,0.8952,5
-66.5302,439.474,4.4717,8
-58.3599,359.813,3.2585,5
-53.3402,383.37,3.3096,5
-56.1901,287.31,1.3451,4
-65.8399,343.442,4.3135,6
-49.24,281.484,4.4823,4
-52.6499,320.397,0.739,6
-58.51,341.411,1.48792,5
-55.4401,401.417,2.20878,5
-54.5199,374.447,2.8491,4
-43.2298,341.414,1.45922,1
-51.45,403.46,2.0853,5
-52.9198,328.456,3.71178,5
-59.6999,369.462,1.0799,5
-54.5401,346.46,1.6227,8
-58.8202,383.488,4.4831,8
-56.74,343.427,2.974,7
-62.25,399.369,3.0206,3
-53.6299,371.403,2.88312,1
-56.21,347.886,4.2496,4
-38.5299,313.379,0.90952,3
-65.1002,438.574,4.68104,5
-47.5599,340.336,1.1302,3
-59.41,367.352,2.474,8
-48.4599,334.832,4.9761,3
-57.7399,332.408,0.5332,6
-60.1301,424.423,3.5291,4
-60.2099,390.461,2.78848,9
-61.38,329.444,2.9711,6
-60.0501,338.423,2.66414,6
-48.6399,333.392,0.181,3
-62.49,429.561,1.7061,8
-52.14,393.281,3.23852,4
-61.3701,359.415,0.664,8
-60.73,364.537,2.83652,5
-56.05,356.407,3.15702,5
-70.6199,437.584,4.4233,9
-69.1002,358.461,3.4001,10
-53.28,321.421,0.4768,4
-53.1401,346.456,1.047,5
-56.6799,307.777,3.3943,7
-47.78,309.41,1.8111,4
-63.52,361.486,0.7542,7
-54.5901,330.819,2.0492,4
-48.7801,326.437,1.9602,5
-38.46,243.675,2.34522,2
-44.9899,279.34,0.6484,4
-67.5,367.405,3.0493,7
-57.74,342.376,2.5574,4
-53.4,379.323,3.9891,3
-45.7499,289.408,1.38388,3
-60.5901,346.431,2.0376,10
-51.1201,358.486,1.6158,1
-50.6901,356.438,1.4258,3
-54.9301,335.492,1.6683,4
-55.05,405.564,2.6187,6
-54.0602,398.427,0.0923,3
-59.5101,364.578,2.774,5
-60.3901,339.505,2.19932,9
-55.4099,352.438,2.6945,4
-55.71,353.894,2.08614,5
-40.5701,307.412,1.1723,6
-44.1499,315.435,1.7409,3
-53.84,377.872,3.87082,6
-52.21,348.874,4.74902,4
-51.2199,358.404,2.5841,3
-51.2,349.431,1.0706,4
-37.3199,267.369,1.6865,3
-56.13,375.379,1.961,2
-62.6399,440.521,4.43592,6
-62.0701,386.455,3.9331,4
-60.4699,350.426,2.8562,5
-59.1299,358.461,3.08712,5
-55.2901,314.336,3.90872,4
-63.6499,348.805,3.7403,5
-54.33,330.428,2.8306,6
-41.1901,387.278,1.1829,4
-45.0699,350.831,1.3962,2
-62.1199,358.482,2.7739,7
-51.5899,327.453,4.55202,5
-51.74,382.888,3.5895,4
-49.8699,288.297,3.2092,3
-55.7099,352.416,1.7474,7
-52.3399,317.433,1.3108,4
-48.3099,368.272,1.0395,3
-55.8201,303.362,2.084,3
-52.4201,317.336,2.0167,3
-40.7299,251.374,0.8236,2
-46.1301,350.831,3.22388,3
-52.0201,310.401,3.08448,5
-58.7801,344.444,0.96768,7
-57.5301,360.435,2.6506,6
-65.7501,394.519,2.7344,6
-53.6099,371.311,3.40592,3
-50.4602,349.406,2.4126,5
-67.6299,385.472,1.4804,8
-45.35,334.464,1.3519,3
-49.3202,347.44,2.77604,3
-61.2402,436.513,2.7262,7
-52.7199,338.473,2.91972,3
-51.7101,390.277,4.3163,5
-62.1602,368.481,2.19502,4
-64.7401,394.468,3.8258,6
-52.3999,292.423,1.7921,2
-57.4601,362.474,1.2938,4
-45.79,259.269,1.86232,5
-58.8901,396.438,3.8461,5
-64.3599,397.418,2.6021,7
-47.63,279.299,2.1308,1
-57.9998,387.461,2.4704,3
-46.68,279.384,1.90764,4
-43.2999,305.331,2.3243,5
-59.5899,386.508,3.59462,4
-60.77,456.955,3.6623,4
-58.47,299.462,3.68632,5
-43.5301,269.231,3.6734,1
-47.7301,303.395,1.85378,4
-42.8599,233.311,2.51398,5
-47.7601,377.267,3.06022,1
-50.49,375.86,2.25112,4
-61.36,276.38,3.2741,7
-45.7001,262.344,1.7305,2
-54.72,306.381,2.7186,7
-41.3299,289.427,3.11408,4
-48.2401,346.383,1.0476,5
-45.6401,318.38,3.50878,4
-59.43,353.382,1.7017,6
-45.16,250.298,2.95428,3
-43.64,323.374,0.29902,2
-44.9301,396.513,0.5382,4
-64.9799,384.524,1.77942,4
-32.3799,228.704,2.7584,2
-52.6,311.316,2.9631,4
-46.4701,315.381,1.3512,3
-53.16,325.783,4.5886,6
-55.0599,334.416,1.4183,4
-55.1801,251.414,3.7536,4
-44.6999,347.375,0.62312,4
-62.27,322.412,2.8087,4
-56.17,383.374,2.63882,4
-51.7201,350.419,0.6891,4
-53.58,393.528,4.11642,8
-51.3701,380.968,0.9143,5
-50.29,305.382,0.2964,4
-55.2499,346.427,1.6431,5
-56.63,358.402,0.256,7
-60.08,350.478,2.962,7
-56.7498,426.498,4.57054,4
-31.6299,253.331,0.0661,2
-69.36,328.431,4.4113,7
-66.2498,394.45,3.4939,5
-57.2601,260.381,2.3753,5
-45.99,274.364,2.3939,2
-57.15,346.475,2.0427,5
-54.5299,322.412,4.06584,5
-58.3699,377.828,2.9183,5
-64.5899,368.462,3.465,5
-57.4499,350.3,2.9941,5
-57.8599,358.49,2.5787,6
-50.93,304.327,2.4317,3
-59.9901,400.519,3.7425,4
-47.67,296.367,1.8762,4
-45.5601,325.39,0.2388,4
-62.1898,383.883,3.4784,5
-51.22,342.302,4.5405,5
-49.1999,373.519,2.1029,3
-63.01,369.517,0.425,7
-56.0199,309.316,3.7128,6
-54.9701,356.333,3.4306,6
-60.6099,360.477,2.43398,4
-51.1501,307.444,3.3116,5
-54.9,398.525,2.1126,6
-48.28,337.405,1.2109,5
-49.49,297.468,0.8833,4
-58.1098,434.905,2.70642,5
-47.6401,358.482,3.71352,3
-60.1799,358.442,2.5035,9
-60.5601,400.567,2.1246,5
-61.8699,356.426,1.17324,5
-63.25,376.394,3.0298,7
-60.3302,398.511,1.2322,4
-53.99,349.475,1.9849,6
-43.8,327.793,2.50034,4
-56.07,343.467,3.4982,3
-56.3001,333.476,1.5531,8
-55.68,311.425,4.069,3
-46.7901,281.275,0.6961,2
-57.1999,363.458,0.331,6
-45.4701,302.378,0.6958,3
-55.24,308.381,3.5766,3
-41.08,345.399,2.6274,4
-59.4599,357.443,0.9487,5
-60.9701,336.476,2.0104,6
-61.2799,398.26,4.9751,5
-67.91,344.455,2.8176,7
-48.7301,304.346,1.6366,3
-53.3,345.42,3.3579,3
-45.2701,306.318,0.7584,3
-53.2798,335.452,2.0545,7
-54.9398,357.884,3.0886,3
-61.94,332.469,4.80992,7
-58.5799,381.501,2.892,3
-47.78,330.497,3.5394,2
-53.7301,331.25,1.2893,4
-60.7599,309.409,3.819,5
-56.81,363.498,3.354,6
-47.4301,311.407,1.64222,5
-44.0799,311.316,2.5883,1
-43.2399,323.422,0.44018,4
