score,MolW,cLogP,RotB,MolW.scaled,cLogP.scaled,RotB.scaled
-53.13,348.428,1.4948,8,0.285245461042645,-0.774346884649367,1.68179261664495
-66.79,349.419,3.7085,5,0.298184152055592,0.800853775241983,0.147917890201714
-51.9302,343.399,2.867,4,0.219585847415894,0.202068323148849,-0.363373685279366
-54.81,356.451,1.90792,4,0.389995327840703,-0.480383431329443,-0.363373685279366
-63.9799,343.492,4.4306,7,0.220800073716806,1.31467786907021,1.17050104116387
-51.1401,356.191,2.6365,2,0.386600716676862,0.038051630686024,-1.38595683624153
-55.7902,322.356,1.9143,6,-0.055155701509884,-0.475843620058672,0.659209465682794
-50.1299,392.253,3.35218,2,0.857433285101583,0.547307450476891,-1.38595683624153
-45.6399,309.373,2.29542,2,-0.224664304356597,-0.204650380009076,-1.38595683624153
-0.2183,118.64,5,2,-2.71491188555987,1.71984535144909,-1.38595683624153
-62.6699,363.483,3.0872,5,0.481806503625813,0.358755853215288,0.147917890201714
-52.4301,359.455,1.2926,3,0.429216142979848,-0.918226169751247,-0.874665260760446
-46.66,242.319,1.3795,4,-1.10013452351114,-0.856390809339015,-0.363373685279366
-54.4902,439.419,3.803,7,1.47324186261587,0.868097061305918,1.17050104116387
-51.9701,331.368,2.35914,5,0.062506743907552,-0.159309192834537,0.147917890201714
-55.11,330.382,3.00718,3,0.049633333878525,0.301816088656176,-0.874665260760446
-55.4699,351.353,1.034,3,0.323434836635855,-1.10223795574208,-0.874665260760446
-50.3198,354.385,1.8375,3,0.363021225284952,-0.530492131907457,-0.874665260760446
-46.9901,379.295,2.7789,4,0.688251087174471,0.13937907973898,-0.363373685279366
-61.9,377.84,3.38,7,0.669254320853745,0.567103304638781,1.17050104116387
-54.46,350.419,0.427,6,0.311240348839596,-1.5341604387136,0.659209465682794
-55.7,360.527,2.66404,4,0.443212385932299,0.057648245481799,-0.363373685279366
-63.8699,351.451,1.0028,10,0.324714343920687,-1.12443891368065,2.70437576760711
-50,341.481,1.10272,5,0.194544061984176,-1.05333892274405,0.147917890201714
-49.89,358.374,1.24272,6,0.415102394256341,-0.953719239686369,0.659209465682794
-63.84,391.541,2.035,8,0.848137272991373,-0.389957221879657,1.68179261664495
-53.8999,282.472,2.9016,7,-0.575889054043065,0.226688616247391,1.17050104116387
-46.9199,292.383,0.6779,5,-0.44648908771681,-1.35562773529094,0.147917890201714
-49.55,352.416,0.84596,6,0.33731357381725,-1.23604142147184,0.659209465682794
-46.54,268.338,1.76662,3,-0.760425339388165,-0.580928154301232,-0.874665260760446
-49.5299,286.335,1.54792,2,-0.525452965866461,-0.736548330620624,-1.38595683624153
-57.6,347.532,1.7557,4,0.273547108724179,-0.588698489579731,-0.363373685279366
-56.54,434.809,4.0456,3,1.41305279544162,1.04072374066159,-0.874665260760446
-61.6002,379.482,2.2222,7,0.690692595973079,-0.256751474248243,1.17050104116387
-55.0698,315.413,4.0665,6,-0.145804875781218,1.05559553620377,0.659209465682794
-48.79,308.382,0.9223,1,-0.237602995369544,-1.18172023143881,-1.89724841172261
-55.19,321.27,2.6135,3,-0.069334731217312,0.021685539897976,-0.874665260760446
-50.0599,288.435,2.69244,5,-0.498034952620054,0.077856809759215,0.147917890201714
-54.0998,451.328,3.40512,5,1.62872811011657,0.584977922055988,0.147917890201714
-51.2699,369.361,2.303,6,0.558550828322183,-0.199256685740667,0.659209465682794
-54.7901,354.771,2.66052,3,0.368060917243578,0.055143522022063,-0.874665260760446
-51.1401,310.354,0.6212,6,-0.21185617531149,-1.3959737069293,0.659209465682794
